Type,Poem/poet,wordCount,avgWordLength,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,identityEndRhymeFreq,endRhymeFreq,soundDevicesFreq,concreteness,imageability,valence,arousal,typeTokenRatio,logWordFreq,objectWords,absWords
contempPoet,"TheyFeedTheyLion,byPhilipLevine/Poet",0.5432,0.208,0.0242,0.4493,0.5789,0.043,0,0.0107,0.0645,1.0526,2.858564593,346.2090395,5.819473684,4.070921053,0.510121457,2.385207188,0.068825911,0.008097166
contempPoet,"AnimalsArePassingFromOurLives,byPhilipLevine/Poet",0.416,0.226,0.0303,0.3333,0.5606,0.1594,0.0144,0.0144,0.1884,0.9242,2.923486239,351.2637363,5.7172,4.111,0.704545455,2.493311276,0.037878788,0.037878788
contempPoet,"""ToSpeakofWoeThatIsinMarriage"",byRobertLowell/Poet",0.3852,0.2214,0.045,0.2882,0.4954,0.1388,0.1388,0,0.2777,0.8288,2.716071429,344.7323944,5.855757576,4.328787879,0.783018868,2.238784608,0.047169811,0.018867925
contempPoet,"Onions,byWilliamMatthews/Poet",0.5576,0.2247,0.0228,0.441,0.6692,0.0833,0,0.025,0.1333,1.133,2.669911111,320.0388889,5.573815789,4.080394737,0.632183908,2.33602767,0.053639847,0
contempPoet,"CharlesonFire,byJamesMerrill/Poet",0.4975,0.3132,0.0101,0.4494,0.6212,0.1666,0.0138,0,0.1805,1.0808,2.70754491,340.8712121,5.923541667,3.950625,0.746192893,2.347647011,0.030456853,0.030456853
contempPoet,"body,byJamesMerrill/Poet",0.318,0.2075,0.0285,0.1857,0.5428,0,0.0833,0,0.0833,0.7571,2.6704,330.1190476,5.75625,3.92875,0.857142857,2.477287521,0,0.042857143
contempPoet,"FortheAnniversaryofMyDeath,byW.S.Merwin/Poet",0.3393,0.2087,0.0481,0.3493,0.518,0.0303,0,0,0.0606,0.9156,2.583670886,344.5074627,6.068846154,3.891538462,0.726190476,2.015519486,0.047619048,0.023809524
contempPoet,"WhenYouGoAway,byW.S.Merwin/Poet",0.3688,0.1202,0,0.4158,0.4455,0.1,0.0333,0,0.1333,0.8613,2.554470588,323.0617284,5.870714286,3.542857143,0.693069307,2.136133191,0.02970297,0.059405941
contempPoet,"MinorMiracle,byMarilynNelson/Poet",0.5504,0.2294,0.0274,0.2313,0.6078,0.0808,0,0,0.0909,0.8666,2.890201005,362.9156627,5.616716418,3.996865672,0.638554217,2.392432373,0.036144578,0.016064257
contempPoet,"TheSmallVasesfromHebron,byNaomiShihabNye/Poet",0.4827,0.2299,0.0107,0.3494,0.5161,0.0729,0,0.0104,0.0833,0.8763,2.822138365,340.296875,5.874754098,3.790819672,0.700534759,2.522324427,0.042780749,0.016042781
contempPoet,"Hello,byNaomiShihabNye/Poet",0.5297,0.2062,0.0301,0.3017,0.4698,0.0731,0,0,0.0731,0.8017,2.823853659,344.8628571,5.560714286,3.843428571,0.637931034,2.35087129,0.060344828,0.00862069
contempPoet,"PersonalPoem,byFrankO'Hara/Poet",0.5711,0.1302,0.0215,0.3776,0.5,0.0937,0.0104,0,0.125,0.8992,2.55,332.7044335,6.003658537,4.050853659,0.596428571,2.126337628,0.032142857,0.014285714
contempPoet,"WhyIAmNotAPainter,byFrankO'Hara/Poet",0.495,0.1065,0.0102,0.3163,0.454,0.0864,0,0,0.1111,0.7806,2.673101266,346.8987342,6.227692308,3.886346154,0.502538071,2.018560554,0.045685279,0.015228426
contempPoet,"May1968,bySharonOlds/Poet",0.5675,0.2012,0.0255,0.3941,0.4343,0.0952,0,0.0095,0.1142,0.854,2.785814978,348.6078431,5.920882353,3.872647059,0.588447653,1.956223548,0.036101083,0.032490975
contempPoet,"UniversityHospital,Boston,byMaryOliver/Poet",0.581,0.2234,0.0346,0.3667,0.4532,0.1031,0.0079,0,0.1349,0.8546,2.582734375,337.5608696,5.538023256,3.971395349,0.629757785,2.086288833,0.01384083,0.041522491
contempPoet,"TheSummerDay,byMaryOliver/Poet",0.4543,0.1264,0.0306,0.2392,0.4171,0.1176,0,0,0.1176,0.6871,2.533877551,334.0606061,5.712790698,3.95744186,0.591463415,2.060920548,0.030487805,0.012195122
contempPoet,"DearestReader,byMichaelPalmer/Poet",0.3754,0.3094,0.0571,0.4761,0.4952,0.0666,0.0222,0,0.0888,1.0285,2.979090909,376.1111111,5.823636364,3.91969697,0.761904762,2.492009638,0.066666667,0
contempPoet,"Aubade:SomePeaches,AfterStorm,byCarlPhillips/Poet",0.4086,0.2257,0.0476,0.2698,0.5396,0.0606,0.0151,0.0151,0.0909,0.8571,2.437657658,311.6666667,5.803529412,3.896764706,0.822580645,2.252437545,0.056451613,0.024193548
contempPoet,"CrossingTheWater,SylviaPlath/Poet",0.359,0.2208,0.0631,0.5263,0.6631,0.0333,0,0,0.0333,1.2526,2.798433735,350.6338028,5.600294118,3.851470588,0.736842105,2.101402896,0.031578947,0
contempPoet,"Power,byAdrienneRich/Poet",0.4086,0.3018,0.0317,0.4523,0.4603,0.1333,0,0.0222,0.1777,0.9444,2.642222222,336.2289157,5.433666667,4.042666667,0.663934426,1.982992997,0.032786885,0.016393443
contempPoet,"RootCellar,byTheodoreRoethke/Poet",0.3262,0.3192,0.04,0.28,0.7333,0.1851,0,0,0.1851,1.0533,2.795636364,354.9761905,5.147916667,4.065416667,0.878378378,3.129736103,0.040540541,0
contempPoet,"TheRoomofMyLife,byAnneSexton/Poet",0.4975,0.213,0.0151,0.3686,0.4898,0.0404,0,0.0101,0.0707,0.8737,2.699090909,334.1172414,5.946428571,4.236071429,0.621212121,2.324016132,0.075757576,0.025252525
contempPoet,"HerKind,byAnneSexton/Poet",0.4271,0.2248,0.0141,0.2907,0.5531,0.2631,0.1754,0,0.5263,0.8581,2.596902655,342.48,5.752,4.12125,0.638297872,2.509040591,0.028368794,0.021276596
contempPoet,"Fork,byCharlesSimic/Poet",0.2923,0.1333,0,0.3448,0.4482,0.1904,0,0,0.1904,0.7931,2.720185185,332.9166667,5.556363636,4.143636364,0.796610169,2.240361399,0.084745763,0.033898305
contempPoet,"MyNoiselessEntourage,byCharlesSimic/Poet",0.416,0.2165,0.0227,0.3939,0.5227,0.0333,0,0,0.0833,0.9393,2.637522124,339.3877551,5.304571429,4.021428571,0.766917293,2.022562553,0.022556391,0.022556391
contempPoet,"WorkingLate,byLouisSimpson/Poet",0.5207,0.2086,0.018,0.3873,0.3873,0.0729,0.0208,0,0.0937,0.7927,2.68774359,333.7100592,5.644923077,3.799384615,0.614349776,2.18257679,0.044843049,0.035874439
contempPoet,"CleaningaFish,byDaveSmith/Poet",0.5369,0.2058,0.025,0.3958,0.45,0.0666,0,0,0.0666,0.8708,2.683098592,354.7032967,5.856285714,4.138428571,0.620833333,2.241529905,0.054166667,0.008333333
contempPoet,"Pacemaker,byW.D.Snodgrass/Poet",0.5207,0.3162,0.045,0.3513,0.6216,0.1264,0.0229,0,0.1839,1.018,2.781410256,356.9555556,5.372571429,4.144571429,0.714953271,2.403012517,0.028037383,0.004672897
contempPoet,"HayfortheHorses,byGarySynder/Poet",0.4111,0.2289,0.0312,0.3046,0.6484,0.0454,0,0,0.0454,0.9843,2.836804124,356.9651163,5.469459459,3.966486486,0.763779528,2.437729435,0.039370079,0.015748031
contempPoet,"Oranges,byGarySoto/Poet",0.5531,0.2079,0.0387,0.3178,0.5465,0.0987,0,0,0.0987,0.9031,2.825525114,368.3709677,5.900625,3.93578125,0.611538462,2.255746027,0.046153846,0.030769231
contempPoet,"Glass-BottomBoat,byElizabethSpires/Poet",0.6056,0.3006,0.022,0.3753,0.4921,0.0679,0.0123,0,0.0802,0.8895,2.635858209,338.8928571,5.937078652,3.94,0.641269841,2.337378528,0.044444444,0.025396825
contempPoet,"Gin,byDavidSt.John/Poet",0.612,0.2216,0.0153,0.4018,0.4417,0.0396,0,0,0.0634,0.8588,2.829084746,356.6138211,5.758190476,3.869904762,0.642201835,2.362316199,0.067278287,0.018348624
contempPoet,"TravelingthroughtheDark,byWilliamStafford/Poet",0.4469,0.2097,0.0445,0.2866,0.4012,0.0833,0,0,0.0833,0.7324,2.808432836,368.1229508,5.471458333,4.0175,0.692307692,2.276730896,0.044871795,0
contempPoet,"NoticeWhatThisPoemIsNotDoing,byWilliamStafford/Poet",0.3901,0.2028,0.0175,0.4385,0.5087,0.0238,0,0,0.0714,0.9649,2.632673267,328.1744186,6.110625,3.78125,0.573913043,1.785681994,0.052173913,0.008695652
contempPoet,"TheDancing,byGeraldStern/Poet",0.437,0.216,0.0335,0.3691,0.4496,0.0196,0,0.0196,0.0588,0.8523,2.770564516,350.7663551,5.631621622,4.211351351,0.693333333,2.555922847,0.033333333,0.006666667
contempPoet,"ThePrediction,byMarkStrand/Poet",0.3704,0.2148,0.0294,0.4607,0.6078,0.0666,0,0,0.0666,1.098,2.860217391,374.825,6.058518519,3.804444444,0.601941748,2.099794235,0.038834951,0.029126214
contempPoet,"TheNight,ThePorch,byMarkStrand/Poet",0.4037,0.1262,0.0327,0.2704,0.4508,0.1481,0,0,0.1481,0.754,2.391551724,310.0582524,6.180588235,3.760294118,0.680327869,1.956191112,0.032786885,0.057377049
contempPoet,"Letter,byJeanValentine/Poet",0.4037,0.2216,0.0901,0.5245,0.459,0.0666,0,0.0222,0.1111,1.0737,2.818989899,366.9425287,5.926046512,4.004651163,0.65,2.355338121,0.091666667,0.025
contempPoet,"Year‰ÛªsEnd,byEllenBryantVoigt/Poet",0.5099,0.2107,0.019,0.3714,0.5857,0.1458,0,0.0104,0.1666,0.9761,2.715833333,348.7865854,5.561857143,3.944714286,0.639810427,2.170456492,0.033175355,0.028436019
contempPoet,"InTracklessWoods,byRichardWilbur/Poet",0.3786,0.2104,0.0093,0.2897,0.4953,0.0555,0.1388,0,0.1944,0.7943,2.468539326,323.9102564,5.481111111,3.832962963,0.75,2.272943981,0.027777778,0.009259259
contempPoet,"TheSinging,byC.K.Williams/Poet",0.6269,0.2139,0.0547,0.3573,0.4812,0.0935,0,0.0058,0.0994,0.8933,2.626338983,344.5610687,5.93775,3.942375,0.549132948,2.088829812,0.011560694,0.014450867
contempPoet,"MoreBluesandtheAbstractTruth,byC.D.Write/Poet",0.5396,0.1327,0.0329,0.3909,0.4897,0.054,0.009,0,0.063,0.9135,2.812546296,349.8702703,5.796341463,3.920853659,0.596707819,1.976678205,0.061728395,0.024691358
contempPoet,"ApproximatelyForever,byC.D.Wright/Poet",0.3196,0.2194,0.014,0.3661,0.4788,0.1388,0,0,0.1666,0.8591,2.64265625,351.6428571,6.260769231,4.047692308,0.819444444,2.167412561,0.013888889,0.013888889
contempPoet,"ClearNight,byCharlesWright/Poet",0.4024,0.1311,0.033,0.2396,0.6363,0.2,0,0.0333,0.3,0.909,2.666170213,348.7472527,6.07175,3.9685,0.621848739,2.041096454,0.033613445,0.016806723
contempPoet,"LyinginaHammockatWilliamDuffy‰ÛªsFarminPineIsland,Minnesota,byJamesWright/Poet",0.3377,0.2216,0.0121,0.439,0.5609,0.1212,0,0,0.1212,1.0121,3.006197183,371.6774194,6.135333333,3.672333333,0.759036145,2.279790966,0.036144578,0.036144578
contempPoet,"ABlessing,byJamesWright/Poet",0.4641,0.2131,0.0116,0.2748,0.4093,0.106,0,0,0.106,0.6959,2.725533333,353.1021898,6.001964286,3.901428571,0.680232558,2.410250111,0.029069767,0.023255814
contempAmateur,Onlybutadream/Amateur,0.5585,0.1074,0.0303,0.3068,0.4545,0.0579,0.0144,0.0144,0.0869,0.7916,2.631081081,339.2966507,5.973209877,3.813333333,0.542307692,1.843501129,0.034615385,0.030769231
contempAmateur,Dr.HeinzDoofenshmirtz/Amateur,0.4333,0.1229,0.041,0.2739,0.3972,0.0533,0.04,0,0.1066,0.7123,2.478608696,337.0733945,5.534186047,4.075581395,0.664383562,2.093246628,0.020547945,0.034246575
contempAmateur,Freedom/Amateur,0.3114,0.2119,0.0303,0.5606,0.3787,0.0476,0,0.0476,0.0952,0.9696,2.3965625,323.0535714,6.789,4.054333333,0.597014925,1.703536557,0.014925373,0.104477612
contempAmateur,Thefoolishman/Amateur,0.5369,0.1278,0.0291,0.2916,0.5791,0.0897,0.1538,0,0.2435,0.9,2.674215686,350.6891192,5.689113924,3.815189873,0.55186722,2.22593552,0.074688797,0.01659751
contempAmateur,Liveforthemoment/Amateur,0.3409,0.1019,0.0119,0.3452,0.488,0.074,0.0925,0,0.1666,0.8452,2.431333333,336.6285714,5.653103448,4.332413793,0.682352941,1.985340894,0.082352941,0.070588235
contempAmateur,Eatenup/Amateur,0.3245,0.2186,0,0.4324,0.8108,0.1176,0,0.0588,0.1764,1.2432,2.555967742,327.08,5.656,4.089,0.733333333,2.092045963,0.026666667,0.093333333
contempAmateur,GatesofGoodbye/Amateur,0.4358,0.2214,0.027,0.2702,0.6283,0.1014,0.1884,0,0.3623,0.9256,2.511574803,342.9541284,5.845,4.012666667,0.765100671,2.330017425,0.020134228,0.053691275
contempAmateur,truebeauty/Amateur,0.3655,0.208,0.0202,0.5959,0.7272,0.1875,0.0833,0,0.2916,1.3434,2.373913043,365.8554217,6.732903226,4.520967742,0.47,1.832373932,0,0.18
contempAmateur,AWalkinthePark/Amateur,0.3442,0.118,0.0465,0.3837,0.5232,0.1818,0.0909,0.0303,0.303,0.9534,2.919866667,354.0151515,5.897916667,3.907083333,0.597701149,2.188712698,0.057471264,0.068965517
contempAmateur,Thetwoofthem/Amateur,0.3409,0.305,0.0476,0.488,0.7023,0.0784,0.098,0,0.1764,1.238,2.67119403,337.5762712,6.13,4.382352941,0.702380952,2.50839842,0.011904762,0
contempAmateur,Yourlife/Amateur,0.4407,0.2169,0.0328,0.4802,0.5986,0.0869,0.2608,0.0434,0.4057,1.1118,2.362518519,307.2972973,5.217021277,4.05,0.673202614,2.441551503,0.026143791,0.032679739
contempAmateur,Thingwehavelostinfire/Amateur,0.318,0.3014,0.0142,0.3285,0.6285,0.037,0.0185,0,0.0555,0.9714,2.650793651,359,5.711111111,3.932592593,0.85915493,2.803400422,0,0.028169014
contempAmateur,MotherRabbit/Amateur,0.3622,0.3061,0.0206,0.3711,0.7731,0.2424,0.1818,0.0303,0.4545,1.1649,2.67369863,342.4655172,5.4,4.1332,0.744897959,2.533861798,0.06122449,0
contempAmateur,Aurora/Amateur,0.2846,0.1087,0.0357,0.4285,0.4285,0.2222,0.0555,0,0.2777,0.8928,2.8368,358.8888889,5.226666667,3.959333333,0.719298246,2.106896187,0.035087719,0.035087719
contempAmateur,Boytoaman/Amateur,0.3983,0.1166,0.0252,0.2352,0.4957,0.0416,0,0.0416,0.125,0.7563,2.69287037,339.877551,5.609189189,4.087837838,0.616666667,1.842839642,0.05,0.016666667
