Poem/poet	wordCount	$Freq	'Freq	"""Freq"	(Freq	)Freq	",Freq"	#NAME?	?Freq	!Freq	.Freq	:Freq	;Freq	...Freq	CCFreq	CDFreq	DTFreq	EXFreq	FWFreq	INFreq	JJFreq	JJRFreq	JJSFreq	LSFreq	MDFreq	NNFreq	NNPFreq	NNPSFreq	properNounFreq	NNSFreq	PDTFreq	POSFreq	PRPFreq	PRP$Freq	RBFreq	RBRFreq	RBSFreq	RPFreq	SYMFreq	TOFreq	UHFreq	VBFreq	VBDFreq	VBGFreq	VBNFreq	VBPFreq	VBZFreq	WDTFreq	WPFreq	WP$Freq	WRBFreq	numLines	avgLineLength	1SGNFreq	2SGNFreq	3SGMFreq	3SGFFreq	3SGNFreq	1PLNFreq	2PLNFreq	3PLNFreq	contractionsFreq	avgWordLength	alliterationFreq	assonanceFreq	consonanceFreq	slantEndRhymeFreq	semiEndRhymeFreq	perfectEndRhymeFreq	identityEndRhymeFreq	adjFreq	nounFreq	verbFreq	conjFreq	topNounFreq	topAdjFreq	topVerbFreq	numStanzas	avgLinesPerStanza	comparativesFreq	soundDevicesFreq	partialEndRhymeFreq	fullEndRhymeFreq	endRhymeFreq
"TheStrangePeople,byLouiseErdrich/Poet"	0.5585	0	0	0	0	0	0.0679	0	0	0	0.0603	0	0.0075	0	0.0415	0.0037	0.0905	0	0	0.1358	0.0603	0	0	0	0.0075	0.1396	0.015	0	0.015	0.0566	0	0	0.1018	0.0452	0.083	0	0	0.0037	0	0.0188	0	0.0528	0.0075	0.0188	0.015	0.0679	0.0226	0.0037	0.0037	0	0.0037	0.4687	0.3226	0.0679	0	0.0377	0	0.0037	0.0037	0	0.0339	0	0.2067	0.0265	0.356	0.4545	0.098	0	0	0.0098	0.0641	0.2113	0.1509	0.1773	0.0075	0.0037	0.0226	0.4666	0.55	0	0.8371	0.098	0.0098	0.1078
"NewVows,byLouiseErdrich/Poet"	0.4074	0	0	0	0	0	0.0952	0	0	0	0.0873	0	0	0	0.0317	0.0079	0.0873	0	0	0.1507	0.0714	0.0079	0	0	0	0.1428	0	0	0	0.0952	0	0	0.1031	0.0396	0.0476	0	0	0	0	0.0158	0	0.0158	0.0793	0.0158	0.0317	0.0317	0	0.0079	0	0	0.0158	0.2777	0.3235	0.1111	0.0079	0	0	0.0158	0	0	0.0079	0	0.2042	0.024	0.216	0.408	0.0666	0	0.0222	0	0.0873	0.238	0.1269	0.1825	0.0079	0.0079	0.0238	0.4333	0.32	0.0079	0.6479	0.0666	0.0222	0.0888
"SexualJealousy,byCarolFrost/Poet"	0.4111	0	0	0	0	0	0.0697	0	0	0	0.0465	0	0.0077	0	0.0465	0.0155	0.093	0	0	0.1007	0.1007	0.0077	0.0155	0	0.0232	0.1395	0	0	0	0.062	0	0	0.0697	0.0775	0.062	0	0	0	0	0.0155	0	0.062	0	0.031	0.0155	0.0387	0.0155	0	0.0077	0	0	0.2555	0.365	0	0	0	0.0697	0.0155	0	0	0.062	0	0.2242	0.0156	0.3437	0.3828	0	0.0769	0	0	0.1395	0.2015	0.1162	0.1472	0.0077	0.0077	0.0155	0.05	1	0.0232	0.7421	0.0769	0	0.0769
"TheUndressing,byCarolFrost/Poet"	0.4246	0	0	0	0	0	0.0785	0	0	0	0.0428	0	0	0	0.0785	0	0.0928	0.0071	0	0.1	0.0857	0.0071	0	0	0.0071	0.1357	0	0	0	0.0928	0	0	0.0857	0.0714	0.0642	0	0	0.0071	0	0.0142	0	0.0214	0.1071	0	0.0142	0.0142	0	0	0	0	0.0071	0.3375	0.3111	0	0	0	0	0.0214	0	0	0.1357	0.0142	0.2242	0.0287	0.2733	0.8417	0.0877	0	0	0	0.0928	0.2285	0.1428	0.1785	0.0142	0.0071	0.0142	0.05	1	0.0071	1.1438	0.0877	0	0.0877
"ToKillaDeer,byCarolFrost/Poet"	0.4987	0	0	0	0	0	0.105	0	0	0	0.05	0	0.005	0	0.055	0	0.11	0	0	0.135	0.045	0	0	0	0.01	0.18	0	0	0	0.085	0	0	0.075	0.095	0.015	0	0	0	0	0	0.005	0.015	0.105	0.025	0.04	0	0	0	0	0	0	0.4062	0.3282	0.055	0	0	0.105	0.005	0	0	0.005	0	0.2086	0.0301	0.3467	0.4723	0.1527	0	0	0.0277	0.045	0.265	0.12	0.19	0.025	0.01	0.015	0.05	1	0	0.8492	0.1527	0.0277	0.1805
"Nostos,LouiseGluck/Poet"	0.4037	0	0	0	0	0	0.0894	0	0.0081	0	0.0894	0.0081	0	0	0	0.0081	0.1707	0.0081	0	0.1869	0.0813	0	0	0	0.0081	0.2357	0.0325	0	0.0325	0.0569	0	0.0081	0.0243	0.0081	0.0406	0	0	0	0	0	0	0.0081	0.0243	0.0243	0.0162	0.0243	0.0243	0	0.0081	0	0.0081	0.375	0.2531	0.0243	0	0	0	0	0.0081	0	0	0	0.2157	0.0081	0.4754	0.4508	0.1212	0	0	0	0.0894	0.3252	0.0813	0.1869	0.0243	0.0081	0.0081	0.05	1	0	0.9344	0.1212	0	0.1212
"CelestialMusic,byLouiseGluck/Poet"	0.6326	0	0	0	0	0	0.087	0.014	0	0	0.0589	0.0028	0.0112	0	0.0112	0	0.1151	0.0028	0	0.1123	0.0617	0	0	0	0	0.205	0.014	0	0.014	0.0365	0	0	0.1011	0.0393	0.0786	0	0	0.0056	0	0.0421	0	0.028	0.0168	0.0449	0.0112	0.0365	0.0646	0	0.0084	0	0.0056	0.4875	0.4032	0.0561	0.0056	0	0.0421	0.0168	0.0196	0	0	0.0421	0.2213	0.0253	0.4084	0.5014	0.081	0.009	0	0.009	0.0617	0.2556	0.146	0.1235	0.0168	0.0056	0.0252	0.4333	0.74	0	0.9352	0.09	0.009	0.099
"HowSimileWorks,byAlbertGoldbarth/Poet"	0.3704	0	0	0.0194	0	0	0.0582	0	0	0	0.0388	0	0.0291	0.0194	0.0679	0.0097	0.1456	0	0	0.1165	0.0291	0	0	0	0.0194	0.2038	0.0097	0	0.0097	0.0582	0	0	0.0485	0.0679	0.0679	0	0	0.0097	0	0	0	0.0194	0.0097	0.0582	0.0097	0.0194	0.0291	0.0097	0	0	0	0.2666	0.3072	0.0485	0	0	0.0388	0.0097	0.0097	0	0.0097	0.0194	0.308	0.0392	0.5098	0.5294	0.0476	0	0	0	0.0388	0.2718	0.0776	0.1844	0.0097	0.0097	0.0291	0.35	0.35	0	1.0784	0.0476	0	0.0476
"TheOlderChild,byKimikoHahn/Poet"	0.273	0	0	0	0	0	0.037	0	0.037	0	0.0185	0.0185	0	0	0.0185	0.0185	0.1111	0	0	0.1481	0.0925	0	0.0185	0	0.0185	0.2407	0	0	0	0.037	0	0	0.0185	0.0555	0.0185	0	0	0.0185	0	0.0185	0	0.037	0	0.037	0.037	0.0185	0	0	0.0185	0	0	0.15	0.3125	0	0.0185	0	0.0555	0	0	0	0	0	0.3074	0.0566	0.415	0.4339	0.1111	0	0	0	0.1296	0.2777	0.0555	0.1666	0.0185	0.0185	0.0185	0.05	0.75	0.0185	0.9056	0.1111	0	0.1111
"ThePorcelainCouple,byDonaldHall/Poet"	0.6198	0	0	0	0	0	0.0917	0	0	0	0.0355	0.0029	0.0029	0	0.0502	0.0147	0.0887	0	0	0.1568	0.065	0	0	0	0.0029	0.1627	0.0532	0	0.0532	0.0976	0	0.0207	0.065	0.0236	0.0414	0	0	0.0029	0	0.0177	0	0.0177	0.068	0.0355	0.0147	0.0029	0	0	0	0	0.0088	0.5047	0.356	0.065	0	0	0.0147	0.0029	0.0059	0	0	0	0.2315	0.0267	0.3649	0.5281	0.1452	0.0085	0	0	0.0798	0.3136	0.0887	0.2071	0.0147	0.0059	0.0059	0.05	1	0	0.9198	0.1538	0	0.1538
