Poem/poet,Type,year,imagist,time,expertise,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,identityEndRhymeFreq,endRhymeFreq,soundDevicesFreq,imageability,concreteness,valence,arousal,wordFreq,typeTokenRatio,wordLength,objectWords,abstractWords,emotWords,numWords
My Indigo by Li-Young Lee,Poet,1957,0,modern,professional,0,0.5061,0.5555,0.0769,0,0,0.1025,1.0617,-0.887646456,-0.249248174,0.57490285,-0.35563559,727.8823529,0.741176471,3.988235294,0.047058824,0.011764706,0.035294118,85
Eating Alone by Li-Young Lee,Poet,1957,0,modern,professional,0.0217,0.3586,0.5706,0.0317,0,0,0.0317,0.951,-0.715390965,-0.119197326,0.401498745,-0.34824281,185.3208556,0.668449198,3.935828877,0.053475936,0.021390374,0,187
The Mutes by Denise Levertov,Poet,1923,0,modern,professional,0.037,0.3657,0.5138,0.0427,0.0085,0,0.0683,0.9166,-1.081614929,-0.396993427,0.530076017,-0.107134372,86.56306306,0.608108108,4.018018018,0.022522523,0.022522523,0.013513514,222
Wedding-Ring by Denise Levertov,Poet,1923,0,modern,professional,0.0243,0.3821,0.4471,0.0877,0,0.0175,0.1052,0.8536,-1.118935723,-0.521694451,0.68342143,-0.313306872,398.7419355,0.733870968,4.185483871,0.056451613,0.032258065,0.016129032,124
They Feed They Lion by Philip Levine,Poet,1928,0,modern,professional,0.0242,0.4493,0.5789,0.043,0,0.0107,0.0645,1.0526,-0.927536533,-0.164331005,0.573247502,-0.153205433,261.5967742,0.512096774,4.088709677,0.072580645,0.008064516,0.008064516,248
Animals Are Passing From Our Lives by Philip Levine,Poet,1928,0,modern,professional,0.0303,0.3333,0.5606,0.1594,0.0144,0.0144,0.1884,0.9242,-0.839231688,-0.08658529,0.498832229,-0.12051708,4838.095588,0.698529412,4.257352941,0.036764706,0.036764706,0.044117647,136
To Speak of Woe That Is in Marriage by Robert Lowell,Poet,1917,0,modern,professional,0.045,0.2882,0.4954,0.1388,0.1388,0,0.2777,0.8288,-0.864516958,-0.238532757,0.419974048,0.272253996,58.04464286,0.776785714,4.267857143,0.0625,0.017857143,0.026785714,112
Onions by William Matthews,Poet,1942,0,modern,professional,0.0228,0.441,0.6692,0.0833,0,0.025,0.1333,1.133,-1.176753512,-0.313898735,0.44533828,-0.106558439,334.8656716,0.611940299,4.208955224,0.052238806,0,0.018656716,268
Charles on Fire by James Merrill,Poet,1926,0,modern,professional,0.0101,0.4494,0.6212,0.1666,0.0138,0,0.1805,1.0808,-0.9715907,-0.306559528,0.67060847,-0.329961839,154.9154229,0.731343284,4.597014925,0.029850746,0.029850746,0.004975124,201
b o d y by James Merrill,Poet,1926,0,modern,professional,0.0285,0.1857,0.5428,0,0.0833,0,0.0833,0.7571,-1.146617995,-0.372408421,0.60749199,-0.258467022,165.8194444,0.847222222,3.916666667,0,0.055555556,0.027777778,72
For the Anniversary of My Death by W.S. Merwin,Poet,1927,0,modern,professional,0.0481,0.3493,0.518,0.0303,0,0,0.0606,0.9156,-0.964171942,-0.442798952,0.788301738,-0.355911414,36.44047619,0.726190476,4.130952381,0.047619048,0.023809524,0.023809524,84
When You Go Away by W.S. Merwin,Poet,1927,0,modern,professional,0,0.4158,0.4455,0.1,0.0333,0,0.1333,0.8613,-1.102469401,-0.412830788,0.593111682,-0.65666894,250.2745098,0.68627451,3.745098039,0.039215686,0.058823529,0.009803922,102
Minor Miracle by Marilyn Nelson,Poet,1946,0,modern,professional,0.0274,0.2313,0.6078,0.0808,0,0,0.0909,0.8666,-0.748897988,-0.098600305,0.444079398,-0.328308526,197.2153846,0.634615385,4.242307692,0.042307692,0.015384615,0.007692308,260
The Small Vases from Hebron by Naomi Shihab Nye,Poet,1952,0,modern,professional,0.0107,0.3494,0.5161,0.0729,0,0.0104,0.0833,0.8763,-0.95857072,-0.199617199,0.590621585,-0.428456681,361.026738,0.700534759,4.427807487,0.042780749,0.016042781,0.016042781,187
Hello by Naomi Shihab Nye,Poet,1952,0,modern,professional,0.0301,0.3017,0.4698,0.0731,0,0,0.0731,0.8017,-0.945744176,-0.197397002,0.389733038,-0.409580745,311.0128755,0.635193133,4.081545064,0.060085837,0.008583691,0.008583691,233
Personal Poem by Frank O'Hara,Poet,1926,0,modern,professional,0.0215,0.3776,0.5,0.0937,0.0104,0,0.125,0.8992,-1.044557722,-0.457979263,0.716184709,-0.166256485,184.5644599,0.585365854,3.860627178,0.034843206,0.013937282,0.031358885,287
Why I Am Not A Painter by Frank O'Hara,Poet,1926,0,modern,professional,0.0102,0.3163,0.454,0.0864,0,0,0.1111,0.7806,-0.9463173,-0.34986035,0.912897555,-0.36170373,151.8059701,0.482587065,3.527363184,0.044776119,0.014925373,0,201
May 1968 by Sharon Olds,Poet,1942,0,modern,professional,0.0255,0.3941,0.4343,0.0952,0,0.0095,0.1142,0.854,-0.831152012,-0.149500077,0.633522168,-0.319924649,1114.079585,0.570934256,3.820069204,0.038062284,0.031141869,0.006920415,289
University Hospital Boston by Mary Oliver,Poet,1935,0,modern,professional,0.0346,0.3667,0.4532,0.1031,0.0079,0,0.1349,0.8546,-0.991320753,-0.41194202,0.365195683,-0.271805817,78.17586207,0.624137931,4.320689655,0.013793103,0.04137931,0.013793103,290
The Summer Day by Mary Oliver,Poet,1935,0,modern,professional,0.0306,0.2392,0.4171,0.1176,0,0,0.1176,0.6871,-1.03230417,-0.476602399,0.468656652,-0.22078598,177.1829268,0.585365854,3.896341463,0.030487805,0.012195122,0,164
Dearest Reader by Michael Palmer,Poet,1943,0,modern,professional,0.0571,0.4761,0.4952,0.0666,0.0222,0,0.0888,1.0285,-0.591218973,-0.009592325,0.621573487,-0.357946387,190.0566038,0.764150943,4.575471698,0.066037736,0,0.009433962,106
Aubade: Some Peaches After Storm by Carl Phillips,Poet,1959,0,modern,professional,0.0476,0.2698,0.5396,0.0606,0.0151,0.0151,0.0909,0.8571,-1.238213947,-0.582924466,0.604223738,-0.359177041,311.8984375,0.8125,4.3515625,0.0546875,0.0234375,0.0078125,128
Crossing The Water by Sylvia Plath,Poet,1932,0,modern,professional,0.0631,0.5263,0.6631,0.0333,0,0,0.0333,1.2526,-0.852004448,-0.185007613,0.379803778,-0.373121505,70.23958333,0.739583333,4.25,0.041666667,0,0.010416667,96
