Poem/poet	wordCount	$Freq	'Freq	"""Freq"	(Freq	)Freq	",Freq"	#NAME?	?Freq	!Freq	.Freq	:Freq	;Freq	...Freq	CCFreq	CDFreq	DTFreq	EXFreq	FWFreq	INFreq	JJFreq	JJRFreq	JJSFreq	LSFreq	MDFreq	NNFreq	NNPFreq	NNPSFreq	properNounFreq	NNSFreq	PDTFreq	POSFreq	PRPFreq	PRP$Freq	RBFreq	RBRFreq	RBSFreq	RPFreq	SYMFreq	TOFreq	UHFreq	VBFreq	VBDFreq	VBGFreq	VBNFreq	VBPFreq	VBZFreq	WDTFreq	WPFreq	WP$Freq	WRBFreq	numLines	avgLineLength	1SGNFreq	2SGNFreq	3SGMFreq	3SGFFreq	3SGNFreq	1PLNFreq	2PLNFreq	3PLNFreq	contractionsFreq	avgWordLength	alliterationFreq	assonanceFreq	consonanceFreq	slantEndRhymeFreq	semiEndRhymeFreq	perfectEndRhymeFreq	identityEndRhymeFreq	adjFreq	nounFreq	verbFreq	conjFreq	topNounFreq	topAdjFreq	topVerbFreq	numStanzas	avgLinesPerStanza	comparativesFreq	soundDevicesFreq	partialEndRhymeFreq	fullEndRhymeFreq	endRhymeFreq
Yetthesunstillsleeps.../Amateur	0.4222	0	0	0	0	0	0.0434	0	0	0	0	0	0	0	0.0507	0	0.1159	0.0072	0	0.0869	0.0652	0	0	0	0.0144	0.2463	0.0072	0	0.0072	0.0289	0	0.0072	0.0652	0.0724	0.0797	0	0	0	0	0.0072	0	0.0434	0.0144	0	0.0072	0.0289	0.0434	0	0	0	0.0072	0.375	0.2687	0.1304	0	0	0.0072	0	0	0	0	0	0.128	0.0729	0.2846	0.6058	0.0454	0.0303	0.0909	0	0.0652	0.2826	0.1304	0.1376	0.0289	0.0144	0.0217	0.4666	0.35	0	0.9635	0.0757	0.0909	0.1666
Letlovebeasone/Amateur	0.4049	0	0	0	0	0	0.1532	0	0.0161	0.008	0.0161	0	0	0	0.0564	0.0161	0.0967	0	0	0.0887	0.0322	0	0.008	0	0.008	0.1693	0	0	0	0.0403	0	0.008	0.0967	0.0564	0.0725	0	0	0	0	0	0.008	0.137	0	0	0.0322	0.0725	0.008	0	0	0	0.008	0.2777	0.3215	0.0725	0.0241	0	0	0	0.0564	0	0	0.008	0.122	0.0325	0.2601	0.4308	0.1333	0.0444	0	0	0.0564	0.2096	0.2177	0.1451	0.0241	0.0161	0.0725	0.05	1	0.008	0.7235	0.1777	0	0.1777
"Charlotte,Emily,andAnne/Amateur"	0.3852	0	0	0	0	0	0.0178	0	0	0	0.0446	0	0	0	0.0892	0.0178	0.1607	0.0178	0	0.1071	0.0625	0	0	0	0.0089	0.1517	0.0267	0	0.0267	0.0892	0.0089	0.0089	0.0178	0.0178	0.0446	0	0	0	0	0.0267	0	0.0089	0.0178	0	0.0625	0.0178	0.0535	0	0	0	0.0089	0.325	0.265	0	0	0	0	0.0089	0.0089	0	0.0178	0.0178	0.2273	0.045	0.3243	0.6846	0.037	0	0.074	0	0.0803	0.2678	0.0982	0.1964	0.0178	0.0178	0.0178	0.05	1	0	1.054	0.037	0.074	0.1111
Cappuccino/Amateur	0.5126	0	0	0	0	0	0.2149	0	0.0046	0.0046	0.0093	0	0	0	0.0327	0	0.0747	0	0	0.0887	0.1121	0	0	0	0.0046	0.1682	0.056	0	0.056	0.0654	0	0	0.1028	0.0467	0.042	0	0	0.0046	0	0.014	0.0046	0.0514	0.0233	0.0046	0.014	0.042	0.0233	0	0.0046	0	0.0093	0.4687	0.2736	0.0794	0.0093	0	0.0233	0.014	0.0233	0	0	0	0.3059	0.0093	0.291	0.4788	0.0588	0.0196	0.0098	0	0.1121	0.2897	0.1401	0.1214	0.014	0.0186	0.0093	0.05	1	0	0.7793	0.0784	0.0098	0.0882
Pleasuretrip/Amateur	0.4024	0	0	0	0	0	0.0491	0	0	0	0.0655	0	0	0	0.0245	0	0.1065	0	0	0.1803	0.1147	0.0081	0	0	0	0.1557	0.0491	0	0.0491	0.0737	0	0	0.0327	0.0327	0.0245	0	0	0	0	0.0081	0	0.0163	0.0819	0.0245	0.0409	0	0.0163	0	0.0081	0	0	0.2666	0.327	0	0	0.0081	0	0	0	0	0.0573	0	0.3191	0.0661	0.3636	0.6859	0.1428	0	0.0476	0	0.1229	0.2786	0.1147	0.2049	0.0163	0.0163	0.0245	0.35	0.35	0.0081	1.1157	0.1428	0.0476	0.1904
IthoughtIknew/Amateur	0.479	0	0	0	0	0	0.0108	0	0	0	0.1195	0	0	0.0978	0.0217	0.0054	0.1086	0	0	0.1195	0.0489	0	0	0	0.0217	0.1684	0.0108	0	0.0108	0.0326	0	0	0.1413	0.0434	0.038	0	0	0	0	0.0108	0	0.0271	0.0326	0.0217	0.0163	0.0923	0.0217	0.0108	0.0054	0	0	0.3125	0.4171	0.1576	0.0108	0	0.0108	0.0054	0	0	0	0	0.1275	0.0218	0.3005	0.3333	0.0588	0.0784	0.0392	0	0.0543	0.2119	0.1739	0.1413	0.0163	0.0108	0.0163	0.05	1	0	0.6557	0.1372	0.0392	0.1764
Whereisourfateformed?/Amateur	0.3524	0	0	0	0	0	0.0434	0	0.0108	0	0.0217	0	0	0.0326	0.0543	0	0.1413	0	0	0.163	0.0652	0	0	0	0.0108	0.1413	0.0108	0	0.0108	0.0434	0	0	0.1195	0.0217	0.0434	0	0	0	0	0	0	0.0108	0.1195	0.0108	0.0108	0.0217	0.0108	0	0	0	0.0108	0.2222	0.3277	0.0652	0.0434	0	0	0.0217	0.0108	0	0	0.0108	0.2086	0.0109	0.3846	0.5604	0.0333	0	0.1	0	0.0652	0.1956	0.163	0.2173	0.0217	0.0108	0.0217	0.05	1	0	0.956	0.0333	0.1	0.1333
Sometimes/Amateur	0.5423	0	0	0	0	0	0.004	0	0	0	0.0931	0	0	0	0.0283	0	0.0607	0	0	0.1295	0.0161	0	0	0	0.0121	0.0931	0	0	0	0.0445	0	0	0.2145	0.0283	0.1417	0	0	0.004	0	0.008	0	0.0526	0.0161	0.0202	0.0161	0.0971	0.004	0	0	0	0.008	0.2222	0.6058	0.1619	0.0688	0	0	0.004	0.008	0	0	0	0.2145	0.0406	0.3536	0.5162	0.0333	0	0	0	0.0161	0.1376	0.17	0.1578	0.008	0.004	0.0161	0.6799	0.05	0	0.9105	0.0333	0	0.0333
Life/Amateur	0.5207	0	0	0	0	0	0.0179	0	0	0	0	0	0	0	0.0358	0.0089	0.0762	0.0089	0	0.0852	0.0582	0.0044	0	0	0.0134	0.1614	0.0403	0	0.0403	0.0134	0	0	0.0717	0.0224	0.0852	0.0044	0	0	0	0.0538	0	0.0896	0.0313	0.0134	0.0134	0.0582	0.0269	0.0089	0.0179	0	0.0044	0.4625	0.3061	0.0044	0.0627	0	0	0.0224	0	0	0.0044	0.0089	0.2128	0.0405	0.2342	0.6261	0.1818	0.0101	0.2424	0.0101	0.0717	0.2152	0.2062	0.121	0.0179	0.0044	0.0224	0.05	1	0.0089	0.9009	0.1919	0.2525	0.4444
Youcancry/Amateur	0.4172	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0149	0	0.0746	0	0	0.1044	0.0298	0	0	0	0.0149	0.1791	0.0298	0	0.0298	0.0223	0	0	0.1417	0.0447	0.0522	0	0	0	0	0.0298	0	0.1119	0	0.0149	0.0149	0.082	0.0223	0	0.0149	0	0	0.325	0.3116	0.0746	0.082	0	0	0.0298	0	0	0	0	0.1243	0.015	0.2932	0.4661	0.1111	0	0.2222	0	0.0298	0.2313	0.2164	0.1194	0.0223	0.0074	0.0223	0.05	1	0	0.7744	0.1111	0.2222	0.3333
Breakingheart/Amateur	0.4469	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0569	0.0063	0.0569	0	0	0.1392	0.0443	0	0	0	0.0126	0.1329	0.0063	0	0.0063	0.0379	0	0	0.1265	0.0632	0.0443	0	0	0.0063	0	0	0	0.0316	0.0063	0.0189	0.0506	0.0949	0.0316	0.0126	0.0063	0	0.0126	0.375	0.3097	0.1075	0.0506	0	0	0.0316	0	0	0	0	0.1248	0.0191	0.1783	0.4585	0.1212	0	0.1666	0	0.0506	0.1772	0.1645	0.1962	0.0316	0.0063	0.0189	0.05	1	0	0.656	0.1212	0.1666	0.2878
AndaMerryChristmastoYou/Amateur	0.5306	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0341	0	0.1324	0	0	0.0299	0.0854	0	0	0	0.0128	0.188	0.0982	0	0.0982	0.0042	0	0	0.0341	0.0042	0.1111	0	0	0	0	0.0256	0	0.094	0.0299	0.0128	0.0128	0.0213	0.0683	0	0	0	0	0.538	0.2218	0.0256	0	0	0	0.0128	0	0	0	0	0.2028	0.03	0.4248	0.4034	0.2391	0.0072	0.0724	0.0217	0.0854	0.2905	0.2136	0.0641	0.0512	0.0256	0.0683	0.35	1	0	0.8583	0.2463	0.0942	0.3405
Everybodylikesmyclock/Amateur	0.3885	0	0	0	0	0	0.0438	0	0.0087	0	0	0	0	0	0.0087	0	0.0789	0.0087	0	0.0701	0.035	0.0087	0.0087	0	0	0.228	0.0526	0	0.0526	0.0701	0	0	0.1052	0.0526	0.0614	0	0	0	0	0.035	0	0.0438	0.0175	0	0	0.0438	0.0614	0	0	0	0	0.325	0.2675	0.0789	0.0087	0	0	0.0701	0	0	0	0	0.2315	0.0353	0.3893	0.646	0.0925	0	0.1111	0	0.0526	0.3508	0.1666	0.0789	0.035	0.0087	0.035	0.4333	0.35	0.0175	1.0707	0.0925	0.1111	0.2037
Inearlyfell/Amateur	0.4567	0	0	0	0	0	0.0361	0	0.012	0	0	0	0	0	0.0301	0	0.0301	0	0	0.0783	0.0481	0	0.006	0	0.012	0.1024	0.0481	0	0.0481	0.0421	0	0	0.1385	0.0662	0.1325	0	0	0	0	0.0301	0	0.0481	0.0783	0.0301	0.012	0.0361	0.018	0	0	0	0.012	0.4125	0.3024	0.1385	0	0	0.0662	0	0	0	0	0	0.1333	0.0242	0.3636	0.5272	0.2	0	0.1066	0.12	0.0542	0.1927	0.1807	0.1084	0.012	0.006	0.0542	0.25	0.85	0.006	0.9151	0.2	0.2266	0.4266
Denial/Amateur	0.3147	0	0	0	0	0	0.0724	0	0.0289	0	0.0869	0	0	0.0434	0.0579	0.0434	0.0724	0	0	0.0434	0.0724	0.0289	0	0	0	0.0869	0	0	0	0.0724	0	0	0.0724	0.0144	0.0724	0	0	0	0	0.0579	0	0.0724	0.0289	0.0144	0.0289	0.0724	0.0724	0	0.0144	0	0	0.15	0.3656	0.0289	0.0289	0	0	0	0	0	0.0289	0	0.2173	0.0441	0.2647	0.3676	0.1111	0	0	0	0.1449	0.1594	0.2463	0.1014	0.0434	0.0289	0.0289	0.05	0.75	0.0289	0.6764	0.1111	0	0.1111
Wintersilence/Amateur	0.125	0	0	0	0	0	0	0	0	0	0.0476	0	0	0	0.0476	0	0.0952	0	0	0	0.0476	0	0	0	0	0.1428	0.0476	0	0.0476	0.1428	0	0	0.0952	0.0952	0.0476	0	0	0	0	0	0	0	0	0.0476	0	0.1904	0	0	0	0	0	0.1166	0.1625	0.1904	0	0	0	0	0	0	0	0	0.2126	0.05	0.5	0.4	0.0833	0	0.0833	0	0.0476	0.3333	0.1904	0.0476	0.0476	0.0476	0.0952	0.05	0.55	0	0.95	0.0833	0.0833	0.1666
Demonsandscars/Amateur	0.5072	0	0	0	0	0	0.0961	0	0	0	0.0576	0	0	0	0.0192	0	0.0673	0	0	0.0817	0.0384	0	0	0	0.0576	0.1201	0.0048	0	0.0048	0.0721	0	0	0.1634	0.048	0.0625	0	0	0.0048	0	0.0384	0	0.0817	0.0384	0.0048	0.0144	0.0721	0.0096	0.0048	0.0096	0	0	0.4187	0.3238	0.1971	0	0	0	0.0096	0	0	0.0048	0.0144	0.1211	0.0144	0.3285	0.4637	0.0769	0.0512	0.0384	0	0.0384	0.1971	0.2019	0.1009	0.0144	0.0096	0.0192	0.05	1	0	0.8067	0.1282	0.0384	0.1666
ThefirsttimeIsawyou.../Amateur	0.4716	0	0	0	0	0	0.0449	0	0.0112	0	0.0561	0	0	0	0.0674	0	0.0786	0.0168	0	0.1123	0.0505	0	0	0	0.0224	0.1853	0.0056	0	0.0056	0.0112	0	0	0.1235	0.028	0.0786	0	0	0	0	0.0056	0	0.0449	0.0955	0.0224	0.0112	0.0168	0	0.0056	0.0112	0	0.0112	0.375	0.3236	0.1179	0.0168	0	0.0112	0	0.0056	0	0	0.0056	0.2071	0.0169	0.2655	0.4632	0.0303	0.0151	0.106	0	0.0505	0.2022	0.1573	0.1797	0.0168	0.0056	0.0337	0.4666	0.35	0	0.7457	0.0454	0.106	0.1515
