Type,Poem/poet,wordCount,avgWordLength,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,soundDevicesFreq,endRhymeFreq,concreteness,imageability,valence,arousal,typeTokenRatio,logWordFreq,objectWords,absWords
19thPoet,"TheVisible,TheUntrue,byHartCrane/19th",0.4037,0.3056,0.0245,0.4508,0.5,0.0317,0.0158,0.9754,0.0476,2.486320755,314.4878049,5.530487805,4.072926829,0.682926829,2.652943114,0.024390244,0.024390244
19thPoet,"WithWhomisnoVariableness,NeitherShadowofTurning,byArthurHughClough/19th",0.2192,0.1233,0.0512,0.1282,0.5128,0.0833,0.1666,0.6923,0.25,2.196428571,294.6666667,5.215454545,4.054545455,0.75,1.925763664,0.05,0.075
19thPoet,"WhoGoesHome?,byG.K.Chesterton/19th",0.3606,0.1285,0.0312,0.2812,0.6041,0,0.3333,0.9166,0.5333,2.751348315,344.5285714,5.618,4.283,0.618556701,2.012772313,0.030927835,0.010309278
19thPoet,"SinceNineO'Clock,byConstantineP.Cavafy/19th",0.4246,0.2252,0.0359,0.41,0.5755,0,0,1.0215,0.035,2.618760331,343.7346939,5.505813953,4.061162791,0.602836879,2.233605244,0.007092199,0.063829787
19thPoet,"TheHeartofNight,byBlissCarman/19th",0.3754,0.2037,0.019,0.2857,0.5809,0.1296,0.1666,0.8857,0.2962,2.392553191,336.8536585,6.091388889,4.228611111,0.730769231,2.182397203,0.019230769,0.038461538
19thPoet,"IdiedforBeauty--butwasscarce,byEmilyDickinson/19th",0.3147,0.1314,0.0588,0.2647,0.5,0.0333,0,0.8235,0.0333,2.523076923,318.097561,5.940769231,3.709230769,0.62962963,2.090818009,0.012345679,0.061728395
19thPoet,"Douglass,byPaulLaurenceDunbar/19th",0.3868,0.2206,0.0267,0.4107,0.5089,0,0.25,0.9464,0.25,2.396597938,321.0857143,5.506774194,4.483870968,0.72972973,2.711768426,0.018018018,0
19thPoet,"PearTree,byHildaDoolittle/19th",0.3065,0.2281,0.0317,0.1746,0.4444,0.0238,0,0.6507,0.0714,3.151964286,394.9772727,6.2725,3.865,0.746031746,2.371089963,0.063492063,0.047619048
19thPoet,"Departure,byHenryVanDyke/19th",0.4222,0.0776,0.0291,0.2408,0.3357,0.0476,0.1666,0.6058,0.238,2.642272727,332.8947368,6.01025,4.111,0.601449275,1.995711683,0.02173913,0.007246377
19thPoet,"Money,byWilliamHenryDavies/19th",0.432,0.1068,0.0413,0.1172,0.5103,0.074,0.074,0.6689,0.1666,2.611639344,356.635514,5.979574468,4.596595745,0.657534247,1.9896157,0.061643836,0.02739726
19thPoet,"SongofaTrain,byJohnDavidson/19th",0.4728,0.2216,0.0337,0.3089,0.8426,0.0694,0.125,1.1853,0.1944,2.67537931,339.2931034,5.5955,4.093833333,0.651933702,2.565482492,0.022099448,0.016574586
19thPoet,"SkySong,byRobertDesnos/19th",0.377,0.218,0.0188,0.3962,0.3396,0.125,0,0.7547,0.125,2.893033708,356.0921053,6.219615385,4.308846154,0.41509434,2.337139652,0.047169811,0
19thPoet,"SpringThunder,byMarkvanDoren/19th",0.2884,0.2022,0,0.5263,0.3859,0.0333,0.1666,0.9122,0.1999,2.706538462,347.4791667,6.035,3.973333333,0.796610169,1.816190528,0.050847458,0.033898305
19thPoet,"TheMoonMaiden'sSong,byErnestDowson/19th",0.3295,0.2162,0.0129,0.1948,0.5584,0.1428,0.0714,0.7662,0.2142,2.912173913,410.5,6.256451613,3.810967742,0.649350649,2.394876492,0.025974026,0.103896104
19thPoet,"PortraitofaLady,byT.S.Eliot/19th",0.8866,0.2176,0.0293,0.3525,0.5089,0.0775,0.1111,0.8908,0.2015,2.532493639,324.1993865,5.83442029,3.90807971,0.464550265,2.203513614,0.039153439,0.035978836
19thPoet,"OdeToBeauty,byRalphWaldoEmerson/19th",0.7283,0.2205,0.0296,0.3577,0.579,0.0962,0.103,0.9664,0.1993,2.505454545,327.7352941,5.919194631,4.303959732,0.614770459,2.523804155,0.03992016,0.021956088
19thPoet,"OtherChildren,byPaulEluard/19th",0.2923,0.2056,0.0344,0.4655,0.6379,0.0666,0,1.1379,0.0666,2.603703704,359.4680851,5.935,4.132307692,0.728813559,2.097876785,0.084745763,0.050847458
19thPoet,"HenrytheSeventh,byMarriottEdgar/19th",0.7517,0.2021,0.0289,0.3273,0.5189,0.0571,0.0666,0.8752,0.1333,2.490483516,316.8106667,5.695461538,4.046,0.498181818,2.179508156,0.023636364,0.016363636
19thPoet,"DustofSnow,byRobertFrost/19th",0.19,0.0725,0.0303,0.3636,0.3333,0,0.1666,0.7272,0.1666,2.783548387,355.3636364,5.584545455,3.781818182,0.823529412,2.020832272,0.088235294,0.029411765
19thPoet,"AValentine,byEugeneField/19th",0.4296,0.205,0.0069,0.2937,0.4335,0.0757,0.1515,0.7342,0.2272,2.661653543,346.6179775,6.089512195,4.285853659,0.547297297,2.223584672,0.02027027,0
19thPoet,"OnGiving,byRobertGraves/19th",0.3147,0.3033,0.0147,0.4558,0.2941,0.0333,0,0.7647,0.3666,2.42,314.9803922,6.1025,4.76875,0.594202899,1.913275631,0,0.014492754
19thPoet,OSingerinBrownbyDameMaryGilmore/19th,0.2884,0.0693,0,0.1578,0.3333,0.1333,0,0.4912,0.2,3.179722222,416.6666667,5.916818182,4.017272727,0.517241379,2.865684952,0.103448276,0
19thPoet,"ABrokenAppointment,byThomasHardy/19th",0.3934,0.1253,0.0344,0.3362,0.6465,0,0.119,1.0172,0.119,2.481730769,328.8505747,6.006363636,3.831818182,0.72173913,2.023695427,0.008695652,0.026086957
19thPoet,"PiedBeauty,byGerardManleyHopkins/19th",0.3295,0.4162,0.0909,0.3246,0.6233,0.1111,0.2592,1.0389,0.3703,2.654038462,345.7179487,5.6404,4.2376,0.890410959,2.536380655,0.02739726,0.04109589
