Type,Poem/poet,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,identityEndRhymeFreq,endRhymeFreq,soundDevicesFreq,imageability,concreteness,valence,arousal,numOOV,numWords,propOOV,wordFreq,typeTokenRatio,wordLength,objectWords,abstractWords,propNoImage,emotWords,pleasurWords,painWords,wordFreqInc
contempPoet,"TheAbduction,byStanleyKunitz/Poet",0.0152,0.3688,0.5627,0.0797,0.0072,0,0.0942,0.9467,336.0154639,2.697068966,5.863030303,3.926969697,1,264,0.003787879,2.36250175,0.640151515,4.352272727,0.049242424,0.022727273,0.265151515,0.018939394,0.003787879,0.007575758,167.6590909
contempPoet,"MyIndigo,byLi-YoungLee/Poet",0,0.5061,0.5555,0.0769,0,0,0.1025,1.0617,351.5,2.77739726,5.796785714,3.891785714,0,85,0,2.444540311,0.741176471,3.988235294,0.047058824,0.011764706,0.247058824,0.035294118,0,0.011764706,727.8823529
contempPoet,"EatingAlone,byLi-YoungLee/Poet",0.0217,0.3586,0.5706,0.0317,0,0,0.0317,0.951,370.4014085,2.912468354,5.575714286,3.898412698,0,187,0,2.393578898,0.668449198,3.935828877,0.053475936,0.021390374,0.240641711,0,0,0.005347594,185.3208556
contempPoet,"TheMutes,byDeniseLevertov/Poet",0.037,0.3657,0.5138,0.0427,0.0085,0,0.0683,0.9166,330.2160494,2.623948718,5.739636364,4.114545455,3,222,0.013513514,2.091168904,0.608108108,4.018018018,0.022522523,0.022522523,0.27027027,0.013513514,0.004504505,0.009009009,86.57657658
contempPoet,"Wedding-Ring,byDeniseLevertov/Poet",0.0243,0.3821,0.4471,0.0877,0,0.0175,0.1052,0.8536,326.1208791,2.494433962,5.935135135,3.92972973,0,124,0,2.060974406,0.733870968,4.185483871,0.056451613,0.032258065,0.266129032,0.016129032,0,0.016129032,398.7419355
contempPoet,"TheyFeedTheyLion,byPhilipLevine/Poet",0.0242,0.4493,0.5789,0.043,0,0.0107,0.0645,1.0526,347.122905,2.865592417,5.794675325,4.073246753,0,248,0,2.386703401,0.512096774,4.088709677,0.072580645,0.008064516,0.278225806,0.008064516,0.004032258,0.004032258,261.5967742
contempPoet,"AnimalsArePassingFromOurLives,byPhilipLevine/Poet",0.0303,0.3333,0.5606,0.1594,0.0144,0.0144,0.1884,0.9242,356.8125,2.946339286,5.699803922,4.10254902,0,136,0,2.633320731,0.698529412,4.257352941,0.036764706,0.036764706,0.294117647,0.044117647,0,0.007352941,4838.095588
contempPoet,"""ToSpeakofWoeThatIsinMarriage"",byRobertLowell/Poet",0.045,0.2882,0.4954,0.1388,0.1388,0,0.2777,0.8288,354.0379747,2.788526316,5.599268293,4.454634146,0,112,0,2.232162277,0.776785714,4.267857143,0.0625,0.017857143,0.294642857,0.026785714,0.017857143,0.008928571,58.04464286
contempPoet,"Onions,byWilliamMatthews/Poet",0.0228,0.441,0.6692,0.0833,0,0.025,0.1333,1.133,319.7765957,2.710251046,5.631604938,4.115061728,3,268,0.01119403,2.347952426,0.611940299,4.208955224,0.052238806,0,0.298507463,0.018656716,0.007462687,0.003731343,334.8768657
contempPoet,"CharlesonFire,byJamesMerrill/Poet",0.0101,0.4494,0.6212,0.1666,0.0138,0,0.1805,1.0808,342.2888889,2.717873563,5.9188,3.9148,1,201,0.004975124,2.300331271,0.731343284,4.597014925,0.029850746,0.029850746,0.328358209,0.004975124,0,0.004975124,154.920398
contempPoet,"body,byJamesMerrill/Poet",0.0285,0.1857,0.5428,0,0.0833,0,0.0833,0.7571,323.0833333,2.649482759,5.838333333,3.978888889,0,72,0,2.421472724,0.847222222,3.916666667,0,0.055555556,0.333333333,0.027777778,0,0,165.8194444
contempPoet,"FortheAnniversaryofMyDeath,byW.S.Merwin/Poet",0.0481,0.3493,0.518,0.0303,0,0,0.0606,0.9156,343.1029412,2.576375,6.068846154,3.891538462,0,84,0,2.00802871,0.726190476,4.130952381,0.047619048,0.023809524,0.19047619,0.023809524,0.011904762,0,36.44047619
contempPoet,"WhenYouGoAway,byW.S.Merwin/Poet",0,0.4158,0.4455,0.1,0.0333,0,0.1333,0.8613,327.9277108,2.6075,5.82,3.621935484,0,102,0,2.119242787,0.68627451,3.745098039,0.039215686,0.058823529,0.18627451,0.009803922,0,0.009803922,250.2745098
contempPoet,"MinorMiracle,byMarilynNelson/Poet",0.0274,0.2313,0.6078,0.0808,0,0,0.0909,0.8666,366.7247191,2.933860465,5.63,3.916282051,5,260,0.019230769,2.354631659,0.634615385,4.242307692,0.042307692,0.015384615,0.315384615,0.007692308,0,0.007692308,197.2346154
contempPoet,"TheSmallVasesfromHebron,byNaomiShihabNye/Poet",0.0107,0.3494,0.5161,0.0729,0,0.0104,0.0833,0.8763,343.7175573,2.828944099,5.816825397,3.826507937,2,187,0.010695187,2.508133449,0.700534759,4.427807487,0.042780749,0.016042781,0.299465241,0.016042781,0,0.005347594,361.0374332
contempPoet,"Hello,byNaomiShihabNye/Poet",0.0301,0.3017,0.4698,0.0731,0,0,0.0731,0.8017,345.125,2.83125,5.560714286,3.843428571,0,233,0,2.337486149,0.635193133,4.081545064,0.060085837,0.008583691,0.244635193,0.008583691,0,0.008583691,311.0128755
contempPoet,"PersonalPoem,byFrankO'Hara/Poet",0.0215,0.3776,0.5,0.0937,0.0104,0,0.125,0.8992,334.2822967,2.560608696,5.976904762,4.061547619,6,287,0.020905923,2.116475692,0.585365854,3.860627178,0.034843206,0.013937282,0.271777003,0.031358885,0.010452962,0,184.5853659
contempPoet,"WhyIAmNotAPainter,byFrankO'Hara/Poet",0.0102,0.3163,0.454,0.0864,0,0,0.1111,0.7806,345.0621118,2.672901235,6.227692308,3.886346154,0,201,0,2.027118754,0.482587065,3.527363184,0.044776119,0.014925373,0.199004975,0,0,0,151.8059701
contempPoet,"May1968,bySharonOlds/Poet",0.0255,0.3941,0.4343,0.0952,0,0.0095,0.1142,0.854,357.6990741,2.880995851,5.871518987,3.923797468,8,289,0.027681661,2.037770449,0.570934256,3.820069204,0.038062284,0.031141869,0.252595156,0.006920415,0.003460208,0.003460208,1114.107266
contempPoet,"UniversityHospital,Boston,byMaryOliver/Poet",0.0346,0.3667,0.4532,0.1031,0.0079,0,0.1349,0.8546,340.1239316,2.608423077,5.529431818,3.966931818,0,290,0,2.074146433,0.624137931,4.320689655,0.013793103,0.04137931,0.193103448,0.013793103,0.003448276,0.003448276,78.17586207
contempPoet,"TheSummerDay,byMaryOliver/Poet",0.0306,0.2392,0.4171,0.1176,0,0,0.1176,0.6871,335.6268657,2.541266667,5.661333333,4.012666667,0,164,0,2.049940456,0.585365854,3.896341463,0.030487805,0.012195122,0.182926829,0,0,0,177.1829268
contempPoet,"DearestReader,byMichaelPalmer/Poet",0.0571,0.4761,0.4952,0.0666,0.0222,0,0.0888,1.0285,384.0266667,3.026304348,5.856285714,3.889714286,0,106,0,2.540929618,0.764150943,4.575471698,0.066037736,0,0.29245283,0.009433962,0.009433962,0.009433962,190.0566038
contempPoet,"Aubade:SomePeaches,AfterStorm,byCarlPhillips/Poet",0.0476,0.2698,0.5396,0.0606,0.0151,0.0151,0.0909,0.8571,313.0326087,2.430840336,5.834166667,3.888611111,0,128,0,2.231210843,0.8125,4.3515625,0.0546875,0.0234375,0.28125,0.0078125,0,0,311.8984375
contempPoet,"CrossingTheWater,SylviaPlath/Poet",0.0631,0.5263,0.6631,0.0333,0,0,0.0333,1.2526,355.4109589,2.844117647,5.548055556,3.876111111,0,96,0,2.085511987,0.739583333,4.25,0.041666667,0,0.239583333,0.010416667,0.010416667,0,70.23958333
contempPoet,"Power,byAdrienneRich/Poet",0.0317,0.4523,0.4603,0.1333,0,0.0222,0.1777,0.9444,347.5842697,2.722803738,5.447894737,4.074473684,0,127,0,1.987304844,0.669291339,4.307086614,0.031496063,0.023622047,0.299212598,0.007874016,0,0.007874016,101.4173228
contempPoet,"RootCellar,byTheodoreRoethke/Poet",0.04,0.28,0.7333,0.1851,0,0,0.1851,1.0533,367.7826087,2.917666667,5.187931034,4.015517241,0,76,0,3.134184587,0.881578947,4.657894737,0.078947368,0,0.394736842,0.026315789,0,0.013157895,352.7631579
contempPoet,"TheRoomofMyLife,byAnneSexton/Poet",0.0151,0.3686,0.4898,0.0404,0,0.0101,0.0707,0.8737,336.7959184,2.729166667,5.900508475,4.207118644,0,199,0,2.297973045,0.623115578,4.165829146,0.075376884,0.025125628,0.261306533,0.015075377,0,0,210.2663317
contempPoet,"HerKind,byAnneSexton/Poet",0.0141,0.2907,0.5531,0.2631,0.1754,0,0.5263,0.8581,342.8811881,2.609655172,5.79,4.082380952,1,142,0.007042254,2.502318105,0.633802817,4.309859155,0.028169014,0.028169014,0.288732394,0.028169014,0,0.021126761,196.4859155
contempPoet,"Fork,byCharlesSimic/Poet",0,0.3448,0.4482,0.1904,0,0,0.1904,0.7931,341.58,2.80245614,5.3876,4.1928,1,61,0.016393443,2.241091633,0.770491803,3.803278689,0.098360656,0.032786885,0.180327869,0.016393443,0.016393443,0,160.4918033
contempPoet,"MyNoiselessEntourage,byCharlesSimic/Poet",0.0227,0.3939,0.5227,0.0333,0,0,0.0833,0.9393,338.7676768,2.641842105,5.304571429,4.021428571,0,133,0,2.017778581,0.766917293,4.248120301,0.022556391,0.022556391,0.255639098,0.015037594,0,0,72.76691729
