"Word","Bigram","Conc.M","Conc.SD"
"undercooked",-0.279545725096204,1.29378993080973,-1.40983026206808
"vertebrate",-0.279545725096204,1.29378993080973,-0.798761417100085
"bloodstained",-0.279545725096204,1.28416160517206,0.101761091273806
"flatbed",-0.279545725096204,1.28416160517206,-0.573630790006612
"joint",-0.279545725096204,1.28416160517206,-0.219854090288298
"preschool",-0.279545725096204,1.28416160517206,-0.348500162913139
"beardless",-0.279545725096204,1.27453327953438,-0.766599898943874
"indigo",-0.279545725096204,1.27453327953438,-0.509307753694191
"frozen",-0.279545725096204,1.25527662825904,0.166084127586226
"barefooted",-0.279545725096204,1.24564830262137,0.48769930914833
"hashish",-0.279545725096204,1.24564830262137,0.584183863616962
"jeweled",-0.279545725096204,1.24564830262137,-1.18469963497461
"mummified",-0.279545725096204,1.24564830262137,-1.69928392547397
